county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
TAKELSA,"0,3","5,8","5,9","19,1"
HAMMAM GHEZAZ,"0,1","6,2","2,9","16,0"
ELMIDA,"0,5","6,9","3,6","11,7"
HAOUARIA,"0,3","6,7","5,0","11,0"
KELIBIA,"0,2","7,1","3,3","10,9"
MENZEL TEMIME,"0,5","8,5","2,6","10,2"
BOUARGOUB,"0,3","8,1","0,3","8,6"
SLIMANE,"0,2","9,5","2,3","7,8"
KORBA,"0,4","7,9","3,2","7,7"
MENZEL BOUZELFA,"0,2","8,4","3,0","7,1"
BENI KHALLED,"0,3","7,6","1,7","6,4"
GROMBALIA,"0,3","8,9","0,3","6,3"
HAMMAMET,"0,3","7,8","0,3","5,9"
BENI KHIAR,"0,3","5,8","0,3","5,8"
DAR CHAABANE,"0,3","5,8","4,6","4,9"
NABEUL,"0,3","7,1","1,5","4,7"
